start_station_id,start_station_name,end_station_id,end_station_name,total_trips_customer
16,SJSU - San Salvador at 9th,2,San Jose Diridon Caltrain Station,12
16,SJSU - San Salvador at 9th,3,San Jose Civic Center,6
16,SJSU - San Salvador at 9th,4,Santa Clara at Almaden,1
16,SJSU - San Salvador at 9th,5,Adobe on Almaden,1
16,SJSU - San Salvador at 9th,6,San Pedro Square,10
16,SJSU - San Salvador at 9th,7,Paseo de San Antonio,15
16,SJSU - San Salvador at 9th,8,San Salvador at 1st,5
16,SJSU - San Salvador at 9th,9,Japantown,2
16,SJSU - San Salvador at 9th,10,San Jose City Hall,5
16,SJSU - San Salvador at 9th,11,MLK Library,9
16,SJSU - San Salvador at 9th,12,SJSU 4th at San Carlos,7
16,SJSU - San Salvador at 9th,13,St James Park,7
21,Franklin at Maple,34,Palo Alto Caltrain Station,1
21,Franklin at Maple,35,University and Emerson,7
21,Franklin at Maple,21,Franklin at Maple,8
21,Franklin at Maple,83,Mezes Park,2
21,Franklin at Maple,22,Redwood City Caltrain Station,2
21,Franklin at Maple,37,Cowper at University,2
21,Franklin at Maple,25,Stanford in Redwood City,5
21,Franklin at Maple,26,Redwood City Medical Center,1
23,San Mateo County Center,21,Franklin at Maple,1
23,San Mateo County Center,23,San Mateo County Center,12
23,San Mateo County Center,83,Mezes Park,3
23,San Mateo County Center,22,Redwood City Caltrain Station,3
23,San Mateo County Center,25,Stanford in Redwood City,4
23,San Mateo County Center,26,Redwood City Medical Center,3
22,Redwood City Caltrain Station,34,Palo Alto Caltrain Station,6
22,Redwood City Caltrain Station,35,University and Emerson,3
22,Redwood City Caltrain Station,21,Franklin at Maple,5
22,Redwood City Caltrain Station,83,Mezes Park,2
22,Redwood City Caltrain Station,23,San Mateo County Center,3
22,Redwood City Caltrain Station,22,Redwood City Caltrain Station,43
22,Redwood City Caltrain Station,25,Stanford in Redwood City,43
22,Redwood City Caltrain Station,24,Redwood City Public Library,3
22,Redwood City Caltrain Station,26,Redwood City Medical Center,10
22,Redwood City Caltrain Station,28,Mountain View Caltrain Station,1
25,Stanford in Redwood City,35,University and Emerson,3
25,Stanford in Redwood City,21,Franklin at Maple,1
25,Stanford in Redwood City,36,California Ave Caltrain Station,1
25,Stanford in Redwood City,23,San Mateo County Center,2
25,Stanford in Redwood City,37,Cowper at University,1
25,Stanford in Redwood City,22,Redwood City Caltrain Station,37
25,Stanford in Redwood City,25,Stanford in Redwood City,17
25,Stanford in Redwood City,24,Redwood City Public Library,14
25,Stanford in Redwood City,26,Redwood City Medical Center,1
24,Redwood City Public Library,34,Palo Alto Caltrain Station,1
24,Redwood City Public Library,35,University and Emerson,2
24,Redwood City Public Library,21,Franklin at Maple,2
24,Redwood City Public Library,83,Mezes Park,1
24,Redwood City Public Library,22,Redwood City Caltrain Station,6
24,Redwood City Public Library,25,Stanford in Redwood City,10
24,Redwood City Public Library,24,Redwood City Public Library,18
27,Mountain View City Hall,32,Castro Street and El Camino Real,10
27,Mountain View City Hall,33,Rengstorff Avenue / California Street,16
27,Mountain View City Hall,38,Park at Olive,2
27,Mountain View City Hall,80,Santa Clara County Civic Center,3
27,Mountain View City Hall,36,California Ave Caltrain Station,4
27,Mountain View City Hall,27,Mountain View City Hall,53
27,Mountain View City Hall,29,San Antonio Caltrain Station,4
27,Mountain View City Hall,28,Mountain View Caltrain Station,37
27,Mountain View City Hall,31,San Antonio Shopping Center,25
27,Mountain View City Hall,30,Evelyn Park and Ride,4
26,Redwood City Medical Center,23,San Mateo County Center,2
26,Redwood City Medical Center,22,Redwood City Caltrain Station,7
26,Redwood City Medical Center,25,Stanford in Redwood City,1
26,Redwood City Medical Center,24,Redwood City Public Library,1
26,Redwood City Medical Center,26,Redwood City Medical Center,5
29,San Antonio Caltrain Station,34,Palo Alto Caltrain Station,9
29,San Antonio Caltrain Station,35,University and Emerson,8
29,San Antonio Caltrain Station,32,Castro Street and El Camino Real,4
29,San Antonio Caltrain Station,3,San Jose Civic Center,1
29,San Antonio Caltrain Station,33,Rengstorff Avenue / California Street,10
29,San Antonio Caltrain Station,38,Park at Olive,19
29,San Antonio Caltrain Station,36,California Ave Caltrain Station,14
29,San Antonio Caltrain Station,37,Cowper at University,1
29,San Antonio Caltrain Station,76,Market at 4th,2
29,San Antonio Caltrain Station,21,Franklin at Maple,1
29,San Antonio Caltrain Station,25,Stanford in Redwood City,2
29,San Antonio Caltrain Station,27,Mountain View City Hall,8
29,San Antonio Caltrain Station,29,San Antonio Caltrain Station,47
29,San Antonio Caltrain Station,28,Mountain View Caltrain Station,27
29,San Antonio Caltrain Station,31,San Antonio Shopping Center,37
28,Mountain View Caltrain Station,34,Palo Alto Caltrain Station,2
28,Mountain View Caltrain Station,35,University and Emerson,4
28,Mountain View Caltrain Station,32,Castro Street and El Camino Real,35
28,Mountain View Caltrain Station,33,Rengstorff Avenue / California Street,33
28,Mountain View Caltrain Station,38,Park at Olive,8
28,Mountain View Caltrain Station,36,California Ave Caltrain Station,1
28,Mountain View Caltrain Station,9,Japantown,1
28,Mountain View Caltrain Station,27,Mountain View City Hall,25
28,Mountain View Caltrain Station,29,San Antonio Caltrain Station,32
28,Mountain View Caltrain Station,28,Mountain View Caltrain Station,193
28,Mountain View Caltrain Station,31,San Antonio Shopping Center,13
28,Mountain View Caltrain Station,30,Evelyn Park and Ride,46
31,San Antonio Shopping Center,34,Palo Alto Caltrain Station,2
31,San Antonio Shopping Center,35,University and Emerson,2
31,San Antonio Shopping Center,32,Castro Street and El Camino Real,7
31,San Antonio Shopping Center,33,Rengstorff Avenue / California Street,6
31,San Antonio Shopping Center,38,Park at Olive,3
31,San Antonio Shopping Center,36,California Ave Caltrain Station,2
31,San Antonio Shopping Center,27,Mountain View City Hall,18
31,San Antonio Shopping Center,29,San Antonio Caltrain Station,20
31,San Antonio Shopping Center,28,Mountain View Caltrain Station,17
